Inspection_ID,DBA_Name,criticalCount,seriousCount,minorCount,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,ageAtInspection,consumption_on_premises_incidental_activity,tobacco,package_goods,outdoor_patio,public_place_of_amusement,limited_business_license,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,precipIntensity,temperatureMax,windSpeed,humidity,heat_burglary,heat_garbage,heat_sanitation,criticalFound,Risk_Risk 1 (High),Risk_Risk 2 (Medium),Risk_Risk 3 (Low),Facility_Type_Clean_Other,Facility_Type_Clean_Restaurant,APPLICATION_TYPE_C_EXPA,APPLICATION_TYPE_C_LOC,APPLICATION_TYPE_ISSUE,APPLICATION_TYPE_RENEW,predict
920445,SUBWAY,2,0,0,0,0,0,0,0.7945205479452054,0,1.4328767123287671,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,28.16,6.02,0.7466666666666667,12.034832963198175,7.19431971172935,1.2192221143301452,1,1,0,0,0,1,0,0,1,0,0
920446,SHARKS FISH & CHICKEN,0,0,6,0,0,0,2,0.6602739726027397,0,9.931506849315069,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,28.16,6.02,0.7466666666666667,26.292724677050128,27.837325121138143,12.401466419216367,0,0,1,0,0,1,0,0,0,1,0
920448,P K PETRO INC.,0,1,7,0,0,0,0,2.0,1,11.013698630136986,0,1,0,0,0,0,0,0,0,1,0,0,0.0004333333333333333,25.3,7.653333333333332,0.6366666666666667,49.46894358112221,11.282325461671507,66.46702762542671,0,0,0,1,1,0,0,0,0,1,0
920449,"Z T DOLLAR EXCHANGE,INC",1,2,5,0,0,0,0,2.0,1,1.4082191780821918,0,1,0,0,0,1,0,0,0,0,0,0,0.0004333333333333333,25.3,7.653333333333332,0.6366666666666667,69.9398327544141,26.695700722575488,76.82711945638017,1,0,0,1,1,0,0,0,1,0,1
920450,KENNEDY FISH & CHICKEN,0,1,7,0,0,0,3,0.9643835616438357,0,3.304109589041096,0,0,0,0,0,0,0,0,0,0,0,0,0.0004333333333333333,25.3,7.653333333333332,0.6366666666666667,69.66206555731024,27.63831096184192,78.17567731889403,0,1,0,0,0,1,0,0,0,1,1
920471,THE UNIT,0,1,8,0,0,0,0,2.0,1,4.484931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0.010066666666666666,77.94666666666667,8.373333333333333,0.6933333333333334,105.57200939430271,18.826365636433735,44.39893445783464,0,0,1,0,1,0,0,0,0,1,1
1072715,STARBUCKS COFFEE #2229,0,0,3,0,0,0,3,1.0,0,11.66027397260274,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.013333333333335,11.8,0.65,18.279236080161752,0.07849661999738544,7.435346483376491,0,0,1,0,0,1,0,0,0,1,0
1072716,THE WESTMINSTER HOT DOG,1,0,4,0,0,0,4,0.926027397260274,0,2.989041095890411,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.013333333333335,11.8,0.65,18.313415401444406,0.019499312728698846,4.303583350489074,1,1,0,0,0,1,0,0,0,1,0
1072717,SUBWAY #44541,0,0,1,0,0,0,2,0.7506849315068493,0,4.756164383561643,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.4,7.1933333333333325,0.7166666666666667,22.11684400291825,0.07516408354242944,6.4303157156149915,0,1,0,0,0,1,0,0,0,1,0
1072718,PANDA EXPRESS #591,0,0,2,0,0,0,4,0.6356164383561644,0,6.865753424657536,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.4,7.1933333333333325,0.7166666666666667,18.01824537311889,0.07945316677572373,7.491960796701692,0,1,0,0,0,1,0,0,0,1,0
1072720,DUNKIN DONUTS/BASKIN ROBBINS,0,1,3,0,0,0,1,0.9424657534246575,0,5.608219178082192,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.4,7.1933333333333325,0.7166666666666667,15.895733535256245,0.7591829280547245,10.962943571647179,0,0,1,0,0,1,0,0,0,1,1
1072724,SUBWAY # 26817-309 W. MONROE,0,0,2,0,0,0,3,0.6328767123287671,0,9.273972602739725,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,43.90333333333333,13.266666666666666,0.7566666666666667,24.000886659607602,0.21381156477599125,6.366764327508438,0,1,0,0,0,1,0,0,0,1,0
1072725,ALONTI DELI,1,0,3,0,0,0,2,0.7808219178082192,0,1.4164383561643836,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.67,13.533333333333333,0.7266666666666666,13.561377200248856,2.288269011675513,8.388677246204324,1,1,0,0,1,0,0,0,1,0,0
1072727,STARBUCKS COFFEE #289,0,0,1,0,0,0,2,0.9616438356164384,0,11.676712328767126,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.67,13.533333333333333,0.7266666666666666,16.4912633242383,0.8967296003569916,3.3894252950268258,0,0,1,0,0,1,0,0,0,1,0
1072728,TOKYO LUNCH BOXES & CATERING,0,0,2,0,0,0,5,0.7479452054794521,0,12.17260273972603,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.67,13.533333333333333,0.7266666666666666,21.25315958891348,0.008828467934507034,4.253480010491826,0,1,0,0,0,1,0,0,0,1,0
1092765,EINSTEIN BROS. BAGELS # 2436,0,0,4,0,0,0,3,0.8465753424657534,0,11.723287671232875,0,0,0,0,0,0,0,0,0,0,0,0,0.0026666666666666666,19.126666666666665,11.773333333333332,0.7699999999999999,61.997476738410576,23.12682725505668,37.42796112220106,0,1,0,0,0,1,0,0,0,1,0
1092770,LA TACOREA INC.,0,0,1,0,0,0,2,0.7643835616438356,0,2.126027397260274,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.013333333333335,11.8,0.65,34.23909879911397,15.375717611698713,45.38119935535582,0,1,0,0,0,1,0,0,0,1,0
1092771,STELLA'S DINER,0,0,3,0,0,0,5,0.6767123287671233,0,11.906849315068493,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.4,7.1933333333333325,0.7166666666666667,27.79243766732347,12.110041088656587,118.4684648838612,0,1,0,0,0,1,0,0,0,1,0
1092772,CRISP,1,0,4,0,1,0,3,0.6383561643835617,0,6.082191780821918,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.4,7.1933333333333325,0.7166666666666667,29.617003277393422,12.97716024459224,182.0217612845901,1,1,0,0,0,1,0,0,0,1,0
1092774,GYRO MENA,0,0,3,0,0,0,5,0.29863013698630136,0,2.0904109589041098,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.4,7.1933333333333325,0.7166666666666667,37.8508244125775,18.005599327988875,47.34125474866867,0,1,0,0,0,1,0,0,0,1,0
1092775,JANITZIO BURRITOS Y TAGUERIA,0,0,3,0,0,0,3,0.7287671232876712,0,5.3424657534246585,0,0,0,0,0,0,0,0,0,0,0,0,0.0083,42.32666666666667,12.806666666666667,0.8366666666666668,26.447581838110928,12.692023836572984,179.37229708083538,0,1,0,0,0,1,0,0,0,1,0
1092777,EAT A PITA,0,0,4,0,0,0,3,0.6301369863013698,0,11.884931506849314,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,43.90333333333333,13.266666666666666,0.7566666666666667,23.260952457948083,9.652302333544649,36.73734666874832,0,1,0,0,0,1,0,0,0,1,0
1092778,JAZMINE & NU-DLE,0,0,3,0,0,1,2,0.8821917808219178,0,1.8164383561643835,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,43.90333333333333,13.266666666666666,0.7566666666666667,40.497343157895315,20.45208415238807,32.92225018358366,0,1,0,0,0,1,0,0,0,1,0
1092779,EINSTEIN BROS. BAGELS #3561,0,0,4,0,0,0,3,0.6328767123287671,0,2.783561643835617,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.67,13.533333333333333,0.7266666666666666,44.194722912658634,24.8340956557301,39.76330965813828,0,1,0,0,0,1,0,0,0,1,0
1092780,"VEGETARIAN EXPRESS, INC.",0,0,2,0,0,0,3,0.8794520547945206,0,2.3726027397260268,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.67,13.533333333333333,0.7266666666666666,27.110689234559995,9.26638350353134,40.798837814465365,0,1,0,0,0,1,0,0,0,1,0
1092782,AMZI,0,0,3,0,0,0,0,2.0,1,1.0136986301369864,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41.67,13.533333333333333,0.7266666666666666,26.716756167853287,8.975357648337354,39.933376717841846,0,1,0,0,0,1,0,0,1,0,0
1092784,SUBWAY,0,0,2,0,0,0,2,0.8931506849315068,0,7.83013698630137,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.48333333333333,12.686666666666667,0.7200000000000001,30.93450182543482,13.874502851004687,14.893160431285331,0,1,0,0,0,1,0,0,0,1,0
1092785,Chipotle Mexican Grill,0,0,1,0,0,0,2,0.8082191780821918,0,9.761643835616438,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.48333333333333,12.686666666666667,0.7200000000000001,30.537020164171768,31.148629757608433,12.40939048125903,0,1,0,0,0,1,0,0,0,1,0
1092786,MI TIERRA,0,0,4,0,0,0,2,0.926027397260274,0,11.682191780821919,1,0,0,0,0,0,0,0,0,0,0,0,0.0,30.48333333333333,12.686666666666667,0.7200000000000001,28.18761228207305,33.678717818996745,14.362036988495015,0,1,0,0,0,1,0,0,0,1,0
